word,jaccard,length,n_sentences,sep_max,peak_depth,combined,context,target
imagination,0.15920398009950248,28.666666666666668,12,0.025118662251366466,0.7804783950617283,0.35,0.175,0.45
impact,0.08673469387755102,30.75,12,0.13474017050531173,0.8702601410934744,0.725,0.95,0.7
incident,0.10191082802547771,21.333333333333332,12,0.25014416707886583,0.8544973544973545,0.975,0.8500000000000001,0.95
included,0.1301775147928994,21.833333333333332,12,0.26371547083059943,0.9197530864197532,0.4,0.05,0.675
indicated,0.12154696132596685,24.333333333333332,12,0.026803248458438414,0.42046957671957674,0.525,0.45,0.55
instant,0.0967741935483871,25.25,12,0.16813010308477608,0.255952380952381,0.75,0.525,0.8
instructed,0.14184397163120568,19.75,12,0.01044637627071799,0.5126212522045855,0.425,0.275,0.4
justify,0.13270142180094788,28.083333333333332,12,0.0451586180263095,0.5494378306878307,0.625,0.55,0.6499999999999999
laid,0.1016949152542373,23.916666666666668,12,0.0261889000733693,0.6434634038800706,0.35,0.5,0.47500000000000003
leadership,0.10227272727272728,23.166666666666668,12,0.06949593292342288,0.8364197530864197,0.4,0.2,0.375
lifted,0.15151515151515152,22.833333333333332,12,0.0014073451360066501,0.010912698412698412,0.05,0.25,0.025
limit,0.13020833333333334,28.166666666666668,12,0.18871184852388168,0.4181547619047619,0.75,0.75,0.8
listen,0.0915032679738562,19.916666666666668,12,0.004821512434217611,0.7872023809523809,0.575,0.7,0.275
literature,0.16091954022988506,23.166666666666668,12,0.011324259969923178,0.7698963844797179,0.525,0.6000000000000001,0.525
love,0.19083969465648856,18.416666666666668,12,0.12138229939672678,0.7603064373897708,0.75,0.275,0.8500000000000001
maintain,0.13615023474178403,30.166666666666668,12,0.02273114522298172,0.15415564373897708,0.325,0.44999999999999996,0.375
market,0.1111111111111111,26.416666666666668,12,0.013074901368882867,0.5735229276895943,0.32499999999999996,0.4,0.5
measured,0.1360544217687075,19.166666666666668,12,0.035432133409712,0.2560626102292769,0.575,0.5,0.42500000000000004
message,0.13297872340425532,25.583333333333332,12,1.9868214925130214e-08,0.0,0.2,0.2,0.15000000000000002
moved,0.140625,16.916666666666668,12,0.0062865283754136555,0.6827601410934744,0.55,0.4,0.45
opened,0.15625,22.25,12,0.10162368747923105,0.6565806878306879,0.7,0.75,0.775
painting,0.14746543778801843,29.166666666666668,12,0.04309986366166007,0.9205246913580246,0.45,0.15,0.675
percentage,0.09895833333333333,25.75,12,0.031162768602371153,0.36337081128747795,0.375,0.425,0.35
perform,0.14479638009049775,32.5,12,0.04250332050853301,0.7278439153439153,0.75,0.75,0.55
play,0.08173076923076923,28.25,12,0.31423019038306343,0.9228395061728395,0.8,0.75,0.95
please,0.1569767441860465,24.083333333333332,12,0.3015183044804467,0.6449514991181657,0.75,0.475,0.8
produced,0.10648148148148148,28.25,12,0.0123619370990329,0.08079805996472662,0.05,0.225,0.075
quiet,0.15384615384615385,16.75,12,0.0708402891953786,0.9197530864197532,0.3,0.22499999999999998,0.45
radio,0.09090909090909091,26.083333333333332,12,0.08822375535964959,0.9907407407407407,0.775,0.2,0.8999999999999999
reflected,0.091324200913242,30.083333333333332,12,0.12860630287064442,0.9120370370370371,0.75,0.65,0.85
