group,control,words,n_models,mean,median,n_positive,n_negative,min,max,loo_min,loo_max,loo_min_dropped,loo_max_dropped,t_p,wilcoxon_p
decoders,quadratic,without_west,9,0.17936690009263856,0.21376388914257885,8,1,-0.036288091412912477,0.37219268241426345,0.15526367730243545,0.20632377403083244,llama-2-7b,qwen2-7b,0.0031306733850791383,0.01171875
decoders,linear,without_accepted,9,0.3236556234531764,0.3109625041647511,9,0,0.22034371212786638,0.4849706918493929,0.3034912399036493,0.3365696123688401,llama-2-7b,qwen2-7b,1.5774171616331504e-06,0.00390625
decoders,quadratic,without_accepted,9,0.17953539481948821,0.21426604063072008,8,1,-0.03612482238483424,0.37239635810684263,0.1554277744085689,0.20649292197002853,llama-2-7b,qwen2-7b,0.0031204622309240143,0.01171875
decoders,linear,without_actually,9,0.3239222117629656,0.31134561601036465,9,0,0.22024070928637185,0.48551835225363854,0.30372269420163145,0.3368823995725398,llama-2-7b,qwen2-7b,1.584418421797646e-06,0.00390625
decoders,quadratic,without_actually,9,0.1796950730643156,0.21460150572573722,8,1,-0.03695339072378948,0.37318740510370446,0.15550853155939204,0.20677613103782874,llama-2-7b,qwen2-7b,0.003176222326285518,0.01171875
decoders,linear,without_added,9,0.3229243128117029,0.3103870056809119,9,0,0.21912160045073117,0.48405276794445035,0.30278325592010946,0.33589965185682436,llama-2-7b,qwen2-7b,1.6031333085888989e-06,0.00390625
decoders,quadratic,without_added,9,0.179122909620316,0.21352094573590724,8,1,-0.036866185369027415,0.37182132748589697,0.15503560738711836,0.2061215464939839,llama-2-7b,qwen2-7b,0.0031640121768114465,0.01171875
decoders,linear,without_aid,9,0.3232504473990279,0.31062322329115205,9,0,0.21973242192378514,0.48417656872740217,0.3031346822329811,0.3361902005834333,llama-2-7b,qwen2-7b,1.5689621525550993e-06,0.00390625
decoders,quadratic,without_aid,9,0.17937276628128557,0.21420217988333404,8,1,-0.0363903096804746,0.37200361738544796,0.15529390989326525,0.20634315077650559,llama-2-7b,qwen2-7b,0.0031366807218782575,0.01171875
decoders,linear,without_announced,9,0.3234705462406398,0.31102996190747817,9,0,0.22011638579144083,0.4848042157861777,0.3033038375474475,0.33638981629678966,llama-2-7b,qwen2-7b,1.5913673241555533e-06,0.00390625
decoders,quadratic,without_announced,9,0.17949875412430388,0.2138451023001128,8,1,-0.036591142653965444,0.37313258610111666,0.1552945251272023,0.20650999122158756,llama-2-7b,qwen2-7b,0.0031664509441640203,0.01171875
decoders,linear,without_areas,9,0.3231771558801488,0.3105181194922286,9,0,0.2197319237039088,0.4843718879928176,0.30302781436606513,0.3361078099021787,llama-2-7b,qwen2-7b,1.583674685451766e-06,0.00390625
decoders,quadratic,without_areas,9,0.17918937932704282,0.21385745102541548,8,1,-0.03653924694252287,0.3719426274169061,0.15509522331580985,0.2061554576107385,llama-2-7b,qwen2-7b,0.003156852211241428,0.01171875
decoders,linear,without_aspects,9,0.3232671937675746,0.31067193455679665,9,0,0.22030628697341834,0.4841704078917325,0.30315429200205485,0.33613730711684414,llama-2-7b,qwen2-7b,1.5549490341965694e-06,0.00390625
decoders,quadratic,without_aspects,9,0.17939049044986854,0.21383005293544582,8,1,-0.03605897392917991,0.37196376411133386,0.15531883124218537,0.20632167349724959,llama-2-7b,qwen2-7b,0.003114368914270292,0.01171875
decoders,linear,without_called,9,0.3231164796245721,0.3102715511069177,9,0,0.21962648445319466,0.48405752747238856,0.30299884864359494,0.33605272902099426,llama-2-7b,qwen2-7b,1.5792583664112479e-06,0.00390625
decoders,quadratic,without_called,9,0.1793489530659627,0.21399390282398606,8,1,-0.03624807057807833,0.37177438298644583,0.1552957743259023,0.20629858102146784,llama-2-7b,qwen2-7b,0.003123601610593391,0.01171875
decoders,linear,without_clearly,9,0.3230692120372109,0.31082448997337014,9,0,0.2193258406338527,0.4841505831943725,0.30293404064256574,0.33603713346263064,llama-2-7b,qwen2-7b,1.5953312858962594e-06,0.00390625
decoders,quadratic,without_clearly,9,0.1793635489012448,0.21389256868504777,8,1,-0.03676849756295299,0.37205965877497205,0.15527653516702888,0.20638005470926954,llama-2-7b,qwen2-7b,0.003139337642690434,0.01171875
decoders,linear,without_cold,9,0.3231400637698817,0.3107073741234173,9,0,0.21941347473881154,0.4842569833762846,0.30300044881908134,0.33610588739876546,llama-2-7b,qwen2-7b,1.5948526020374973e-06,0.00390625
decoders,quadratic,without_cold,9,0.1794804190889383,0.21384777817891357,8,1,-0.036588763730501205,0.37225382615294755,0.15538374320593717,0.20648906694136826,llama-2-7b,qwen2-7b,0.0031322712723964173,0.01171875
decoders,linear,without_completely,9,0.32394748204098556,0.3113467920967655,9,0,0.22019474847755915,0.48543687548588443,0.3037613078603732,0.3369165737364138,llama-2-7b,qwen2-7b,1.5905572059646836e-06,0.00390625
decoders,quadratic,without_completely,9,0.1797283592225225,0.21429265494076544,8,1,-0.03699322964775268,0.37258872942303894,0.15562081294745794,0.20681855783130693,llama-2-7b,qwen2-7b,0.0031424858627861364,0.01171875
decoders,linear,without_continued,9,0.3231690046963856,0.31079721667621696,9,0,0.21919640795682246,0.4846194591677147,0.3029876978874695,0.33616557928883106,llama-2-7b,qwen2-7b,1.6202788666313847e-06,0.00390625
decoders,quadratic,without_continued,9,0.17968349502041703,0.21417639550854625,8,1,-0.03643034321315091,0.3731604599485177,0.15549887440440446,0.20669772479961304,llama-2-7b,qwen2-7b,0.0031466092431720384,0.01171875
decoders,linear,without_corner,9,0.32308004019998426,0.31036097911212607,9,0,0.21955753803810465,0.4843605370111917,0.30291997809858334,0.33602035297021926,llama-2-7b,qwen2-7b,1.5977025952413298e-06,0.00390625
decoders,quadratic,without_corner,9,0.1792510213962464,0.21363468993854104,8,1,-0.036260717285351754,0.37199180576999136,0.15515842334952828,0.20618998873144617,llama-2-7b,qwen2-7b,0.0031378060716876406,0.01171875
decoders,linear,without_culture,9,0.3237527863229237,0.3115069059892945,9,0,0.2201822036257864,0.48527361714831424,0.30356268246974993,0.3366991091600659,llama-2-7b,qwen2-7b,1.6003589213567545e-06,0.00390625
decoders,quadratic,without_culture,9,0.1798626333969783,0.21400828249760145,8,1,-0.03633595579396803,0.3728767461529037,0.15573586930248765,0.2068874570458466,llama-2-7b,qwen2-7b,0.0031148547177802673,0.01171875
decoders,linear,without_demonstrated,9,0.3232082399463161,0.3110172398446181,9,0,0.21911895993377348,0.4842489854966115,0.3030781467525292,0.3362193999478839,llama-2-7b,qwen2-7b,1.6019500637650235e-06,0.00390625
decoders,quadratic,without_demonstrated,9,0.1793368472669757,0.21377607686399996,8,1,-0.03706372709639986,0.371894620954452,0.15526712555604116,0.20638691906239767,llama-2-7b,qwen2-7b,0.0031658848323719234,0.01171875
decoders,linear,without_described,9,0.32356878389861987,0.31111379607342005,9,0,0.2205188747877595,0.48474381552768125,0.3034219049449871,0.33645002253747736,llama-2-7b,qwen2-7b,1.5481886944162226e-06,0.00390625
decoders,quadratic,without_described,9,0.17949205415071312,0.2137921502554776,8,1,-0.036191348123368716,0.3724799150238588,0.1553685715415699,0.20645247943497336,llama-2-7b,qwen2-7b,0.003135301985665832,0.01171875
decoders,linear,without_destroy,9,0.3232199897105011,0.31055522297433596,9,0,0.21917603964158633,0.4846782908810664,0.30303770206418035,0.3362254834691154,llama-2-7b,qwen2-7b,1.6143801755564462e-06,0.00390625
decoders,quadratic,without_destroy,9,0.17928438994994908,0.21375455792582584,8,1,-0.03694384615354808,0.3719548632513778,0.15520058078727045,0.20631291946288619,llama-2-7b,qwen2-7b,0.003161591786247819,0.01171875
decoders,linear,without_direction,9,0.323311582915552,0.3105290316678495,9,0,0.2201793025977072,0.48440844136306904,0.3031744756096124,0.3362031179552827,llama-2-7b,qwen2-7b,1.5665942117752844e-06,0.00390625
decoders,quadratic,without_direction,9,0.17929979408807123,0.21380792678689328,8,1,-0.03619746192949927,0.37210656321494345,0.1551989479472122,0.20623695109026755,llama-2-7b,qwen2-7b,0.003141221501711787,0.01171875
decoders,linear,without_dirt,9,0.3230720647541172,0.31021579179584047,9,0,0.21931214780039715,0.4844213327687592,0.30290340625228696,0.3360420543733322,llama-2-7b,qwen2-7b,1.6094906513381951e-06,0.00390625
decoders,quadratic,without_dirt,9,0.1792786799283662,0.21364928071443479,8,1,-0.03649100814531185,0.37193656197235414,0.1551964446728677,0.20624989093757598,llama-2-7b,qwen2-7b,0.003140460558347282,0.01171875
decoders,linear,without_education,9,0.32305724711207673,0.3102359543605425,9,0,0.21943926035373884,0.4841650996110425,0.302918765549706,0.33600949545686887,llama-2-7b,qwen2-7b,1.5877963838023394e-06,0.00390625
decoders,quadratic,without_education,9,0.17915127530514138,0.21369286311125327,8,1,-0.03655830658849136,0.3718448091741741,0.1550645835715123,0.2061149730418455,llama-2-7b,qwen2-7b,0.0031546992385130647,0.01171875
decoders,linear,without_effort,9,0.323252391442971,0.31092597706950886,9,0,0.22037126695232562,0.484346811794591,0.3031155888990186,0.33611253200430175,llama-2-7b,qwen2-7b,1.574106870558586e-06,0.00390625
decoders,quadratic,without_effort,9,0.1796528975464834,0.21374267570498498,8,1,-0.0360755209740413,0.37270951599290936,0.15552082024068017,0.206618949861549,llama-2-7b,qwen2-7b,0.0031163359144225408,0.01171875
decoders,linear,without_established,9,0.3231182979636446,0.3103510545846217,9,0,0.22002024509670487,0.4841974797790345,0.3029834002367209,0.3360055545720121,llama-2-7b,qwen2-7b,1.5781390608600449e-06,0.00390625
decoders,quadratic,without_established,9,0.17938001337725873,0.2137421931315009,8,1,-0.0361737540997536,0.37217892215844134,0.15528014977961088,0.20632423431188526,llama-2-7b,qwen2-7b,0.003139624563288266,0.01171875
decoders,linear,without_ever,9,0.32313708254785567,0.31074434660510114,9,0,0.21969898994919862,0.4841398222946408,0.30301174007950754,0.33606684412268784,llama-2-7b,qwen2-7b,1.5864510496015738e-06,0.00390625
