group,control,words,n_models,mean,median,n_positive,n_negative,min,max,loo_min,loo_max,loo_min_dropped,loo_max_dropped,t_p,wilcoxon_p
decoders,quadratic,without_believe,9,0.2115274648629074,0.21078692518419925,9,0,0.06707589328629937,0.3634865116439454,0.19253258401527767,0.22958391130998343,llama-2-7b,llama-3.1-8b,0.00027362417163520494,0.00390625
decoders,linear,without_brought,9,0.30533074473117366,0.3498316979437892,9,0,0.06854846103411519,0.43993279663043267,0.2885054882437663,0.334928530193306,llama-2-7b,llama-3.1-8b,0.00025978859061205736,0.00390625
decoders,quadratic,without_brought,9,0.21198856442111827,0.2122064181180653,9,0,0.06776799130247016,0.3635046891988198,0.1930490488239056,0.2300161360609493,llama-2-7b,llama-3.1-8b,0.0002663338390686729,0.00390625
decoders,linear,without_cells,9,0.3047484619676755,0.34899762542909385,9,0,0.06798545313015468,0.43953751754965964,0.2878998300199275,0.3343438380723657,llama-2-7b,llama-3.1-8b,0.0002634386938967691,0.00390625
decoders,quadratic,without_cells,9,0.21136331774707406,0.21088408725237745,9,0,0.06710090023528296,0.3630846522692521,0.1923981509318018,0.22939611993604792,llama-2-7b,llama-3.1-8b,0.0002736865361316067,0.00390625
decoders,linear,without_children,9,0.30477198621890594,0.34889228400264755,9,0,0.06778796566018579,0.43955516178610277,0.28792408927300633,0.33439498878874596,llama-2-7b,llama-3.1-8b,0.0002639767326243239,0.00390625
decoders,quadratic,without_children,9,0.211408940198743,0.21114376559763245,9,0,0.06688674231032438,0.36305504791155985,0.19245317673464096,0.22947421493479536,llama-2-7b,llama-3.1-8b,0.00027415847172168004,0.00390625
decoders,linear,without_contrast,9,0.30511970034352853,0.3496014862516369,9,0,0.06737986664277962,0.44017085157544117,0.2882383064395394,0.33483717955612213,llama-2-7b,llama-3.1-8b,0.00026704370016566206,0.00390625
decoders,quadratic,without_contrast,9,0.2117943491683612,0.21186889112168555,9,0,0.06636992670310249,0.36386532527214566,0.19278547715538813,0.22997240197651853,llama-2-7b,llama-3.1-8b,0.0002783765775515987,0.00390625
decoders,linear,without_country,9,0.3047553080903649,0.3489389643457939,9,0,0.06797731095708627,0.43939966057069757,0.2879247640303234,0.33435255773202477,llama-2-7b,llama-3.1-8b,0.0002634381922428866,0.00390625
decoders,quadratic,without_country,9,0.21132463063672752,0.21079126479991367,9,0,0.06708366952482542,0.36289580108644165,0.19237823433051324,0.22935475077571527,llama-2-7b,llama-3.1-8b,0.00027425995234671175,0.00390625
decoders,linear,without_directly,9,0.3047674046420002,0.34908484436691506,9,0,0.0677514188046382,0.4394766762349865,0.2879287456928769,0.33439440287167044,llama-2-7b,llama-3.1-8b,0.0002647300504514074,0.00390625
